title,author,genre,mood,description,length,age_group,keywords,year
To Kill a Mockingbird,Harper Lee,Classic,"thoughtful, emotional",A powerful story of racial injustice and childhood in the Deep South.,medium,"teen, adult","justice, racism, childhood, morality",1960
1984,George Orwell,Dystopian,"dark, intense",A chilling vision of a totalitarian future under constant surveillance.,medium,adult,"surveillance, freedom, rebellion, dystopia",1949
Pride and Prejudice,Jane Austen,Romance,"light, witty",A classic romantic comedy about manners and marriage in 19th century England.,medium,"teen, adult","romance, society, marriage, wit",1813
The Great Gatsby,F. Scott Fitzgerald,Classic,"reflective, tragic",A critique of the American Dream told through the eyes of a mysterious millionaire.,short,adult,"wealth, love, illusion, decadence",1925
The Catcher in the Rye,J.D. Salinger,Classic,"rebellious, introspective",A teenager's cynical journey through New York City after being expelled from school.,medium,teen,"alienation, adolescence, identity",1951
The Hobbit,J.R.R. Tolkien,Fantasy,"adventurous, cozy",A hobbit's journey through a magical world to reclaim a lost treasure.,medium,all,"adventure, magic, dragon, journey",1937
The Lord of the Rings,J.R.R. Tolkien,Fantasy,"epic, serious",An epic quest to destroy a powerful ring and defeat a dark lord.,long,"teen, adult","heroism, sacrifice, friendship, power",1954
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"magical, adventurous",A young boy discovers he's a wizard and attends a magical school.,medium,all,"magic, friendship, school, discovery",1997
The Alchemist,Paulo Coelho,Philosophical,"inspiring, spiritual",A shepherd boy journeys in search of treasure and self-discovery.,short,all,"destiny, dreams, journey, purpose",1988
The Little Prince,Antoine de Saint-Exupéry,Philosophical,"reflective, gentle",A poetic tale of a young prince exploring the universe and learning about life.,short,all,"childhood, wisdom, love, imagination",1943
Brave New World,Aldous Huxley,Dystopian,"disturbing, futuristic",A futuristic society engineered for conformity and comfort hides dark truths.,medium,adult,"control, technology, identity, freedom",1932
The Book Thief,Markus Zusak,Historical Fiction,"emotional, thoughtful",A young girl in Nazi Germany finds solace in books and words during wartime.,long,"teen, adult","war, books, resistance, childhood",2005
The Road,Cormac McCarthy,Post-apocalyptic,"bleak, moving",A father and son's journey through a devastated world.,short,adult,"survival, love, desolation, journey",2006
Life of Pi,Yann Martel,Adventure,"philosophical, tense",A boy survives a shipwreck and shares a lifeboat with a tiger.,medium,"teen, adult","survival, faith, storytelling, animals",2001
A Man Called Ove,Fredrik Backman,Contemporary,"heartwarming, humorous",A grumpy old man's life changes when new neighbors move in.,medium,adult,"loneliness, community, second chances",2012
The Kite Runner,Khaled Hosseini,Historical Fiction,"emotional, intense","A story of friendship, guilt, and redemption in Afghanistan.",medium,adult,"betrayal, forgiveness, family, war",2003
The Midnight Library,Matt Haig,"Fantasy, Contemporary","inspiring, introspective",A woman finds a library that allows her to explore different versions of her life.,medium,adult,"choices, regret, mental health, hope",2020
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-fiction,"educational, thought-provoking",An exploration of the history and impact of Homo sapiens.,long,adult,"history, anthropology, evolution, society",2011
"Thinking, Fast and Slow",Daniel Kahneman,Psychology,"analytical, insightful","A deep dive into how humans think, decide, and make judgments.",long,adult,"cognition, behavior, decision-making, bias",2011
Educated,Tara Westover,Memoir,"inspiring, intense",A woman grows up in a survivalist family and escapes to get an education.,medium,adult,"education, resilience, family, self-discovery",2018
